date,reference_start,target_range,field,value
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Rate: 25th percentile,473.65
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Rate: mean,485.48
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Rate: mode,505.15
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Rate: 75th percentile,522.64
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: cut,25.88
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: hike,50.37
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,0.53
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,0.91
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,1.36
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,1.54
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,1.43
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,1.59
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,2.32
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,4.06
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,10.96
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,24.65
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,28.65
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,15.87
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,4.70
2023-03-30,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,1.45
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,429.24
2023-03-30,2023-09-20T00:00:00Z,475bps - 500bps,Rate: mean,459.93
