Index,name,value,term
2020-10-30,ZQU24.CBT.Low,99.93499755859375,2024 Sep
2020-10-30,ZQU24.CBT.Close,99.93499755859375,2024 Sep
2020-10-30,ZQU24.CBT.Volume,0,2024 Sep
2020-10-30,ZQU24.CBT.Adjusted,99.93499755859375,2024 Sep
2020-11-02,ZQU24.CBT.Open,99.91999816894531,2024 Sep
2020-11-02,ZQU24.CBT.High,99.91999816894531,2024 Sep
2020-11-02,ZQU24.CBT.Low,99.91999816894531,2024 Sep
2020-11-02,ZQU24.CBT.Close,99.91999816894531,2024 Sep
2020-11-02,ZQU24.CBT.Volume,0,2024 Sep
2020-11-02,ZQU24.CBT.Adjusted,99.91999816894531,2024 Sep
2020-11-03,ZQU24.CBT.Open,99.91500091552734,2024 Sep
2020-11-03,ZQU24.CBT.High,99.91500091552734,2024 Sep
2020-11-03,ZQU24.CBT.Low,99.91500091552734,2024 Sep
2020-11-03,ZQU24.CBT.Close,99.91500091552734,2024 Sep
2020-11-03,ZQU24.CBT.Volume,0,2024 Sep
2020-11-03,ZQU24.CBT.Adjusted,99.91500091552734,2024 Sep
2020-11-04,ZQU24.CBT.Open,99.94000244140625,2024 Sep
2020-11-04,ZQU24.CBT.High,99.94000244140625,2024 Sep
2020-11-04,ZQU24.CBT.Low,99.94000244140625,2024 Sep
2020-11-04,ZQU24.CBT.Close,99.94000244140625,2024 Sep
2020-11-04,ZQU24.CBT.Volume,0,2024 Sep
2020-11-04,ZQU24.CBT.Adjusted,99.94000244140625,2024 Sep
2020-11-05,ZQU24.CBT.Open,99.93000030517578,2024 Sep
2020-11-05,ZQU24.CBT.High,99.93000030517578,2024 Sep
2020-11-05,ZQU24.CBT.Low,99.93000030517578,2024 Sep
2020-11-05,ZQU24.CBT.Close,99.93000030517578,2024 Sep
2020-11-05,ZQU24.CBT.Volume,0,2024 Sep
2020-11-05,ZQU24.CBT.Adjusted,99.93000030517578,2024 Sep
2020-11-06,ZQU24.CBT.Open,99.91500091552734,2024 Sep
2020-11-06,ZQU24.CBT.High,99.91500091552734,2024 Sep
2020-11-06,ZQU24.CBT.Low,99.91500091552734,2024 Sep
2020-11-06,ZQU24.CBT.Close,99.91500091552734,2024 Sep
2020-11-06,ZQU24.CBT.Volume,0,2024 Sep
2020-11-06,ZQU24.CBT.Adjusted,99.91500091552734,2024 Sep
2020-11-09,ZQU24.CBT.Open,99.875,2024 Sep
2020-11-09,ZQU24.CBT.High,99.875,2024 Sep
2020-11-09,ZQU24.CBT.Low,99.875,2024 Sep
2020-11-09,ZQU24.CBT.Close,99.875,2024 Sep
2020-11-09,ZQU24.CBT.Volume,0,2024 Sep
2020-11-09,ZQU24.CBT.Adjusted,99.875,2024 Sep
2020-11-10,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-10,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-10,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-10,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-10,ZQU24.CBT.Volume,0,2024 Sep
2020-11-10,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-11,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-11,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-11,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-11,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-11,ZQU24.CBT.Volume,0,2024 Sep
2020-11-11,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-12,ZQU24.CBT.Open,99.88500213623047,2024 Sep
2020-11-12,ZQU24.CBT.High,99.88500213623047,2024 Sep
2020-11-12,ZQU24.CBT.Low,99.88500213623047,2024 Sep
2020-11-12,ZQU24.CBT.Close,99.88500213623047,2024 Sep
2020-11-12,ZQU24.CBT.Volume,0,2024 Sep
2020-11-12,ZQU24.CBT.Adjusted,99.88500213623047,2024 Sep
2020-11-13,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-13,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-13,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-13,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-13,ZQU24.CBT.Volume,0,2024 Sep
2020-11-13,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-16,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-16,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-16,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-16,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-16,ZQU24.CBT.Volume,0,2024 Sep
2020-11-16,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-17,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-17,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-17,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-17,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-17,ZQU24.CBT.Volume,0,2024 Sep
2020-11-17,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-18,ZQU24.CBT.Open,99.875,2024 Sep
2020-11-18,ZQU24.CBT.High,99.875,2024 Sep
2020-11-18,ZQU24.CBT.Low,99.875,2024 Sep
2020-11-18,ZQU24.CBT.Close,99.875,2024 Sep
2020-11-18,ZQU24.CBT.Volume,0,2024 Sep
2020-11-18,ZQU24.CBT.Adjusted,99.875,2024 Sep
2020-11-19,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-19,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-19,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-19,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-19,ZQU24.CBT.Volume,0,2024 Sep
2020-11-19,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-20,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-20,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-20,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-20,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-20,ZQU24.CBT.Volume,0,2024 Sep
2020-11-20,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-23,ZQU24.CBT.Open,99.875,2024 Sep
2020-11-23,ZQU24.CBT.High,99.875,2024 Sep
2020-11-23,ZQU24.CBT.Low,99.875,2024 Sep
2020-11-23,ZQU24.CBT.Close,99.875,2024 Sep
2020-11-23,ZQU24.CBT.Volume,0,2024 Sep
2020-11-23,ZQU24.CBT.Adjusted,99.875,2024 Sep
2020-11-24,ZQU24.CBT.Open,99.875,2024 Sep
2020-11-24,ZQU24.CBT.High,99.875,2024 Sep
2020-11-24,ZQU24.CBT.Low,99.875,2024 Sep
2020-11-24,ZQU24.CBT.Close,99.875,2024 Sep
2020-11-24,ZQU24.CBT.Volume,0,2024 Sep
2020-11-24,ZQU24.CBT.Adjusted,99.875,2024 Sep
2020-11-25,ZQU24.CBT.Open,99.875,2024 Sep
2020-11-25,ZQU24.CBT.High,99.875,2024 Sep
2020-11-25,ZQU24.CBT.Low,99.875,2024 Sep
2020-11-25,ZQU24.CBT.Close,99.875,2024 Sep
2020-11-25,ZQU24.CBT.Volume,0,2024 Sep
2020-11-25,ZQU24.CBT.Adjusted,99.875,2024 Sep
2020-11-27,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-27,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-27,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-27,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-27,ZQU24.CBT.Volume,0,2024 Sep
2020-11-27,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-11-30,ZQU24.CBT.Open,99.87999725341797,2024 Sep
2020-11-30,ZQU24.CBT.High,99.87999725341797,2024 Sep
2020-11-30,ZQU24.CBT.Low,99.87999725341797,2024 Sep
2020-11-30,ZQU24.CBT.Close,99.87999725341797,2024 Sep
2020-11-30,ZQU24.CBT.Volume,0,2024 Sep
2020-11-30,ZQU24.CBT.Adjusted,99.87999725341797,2024 Sep
2020-12-01,ZQU24.CBT.Open,99.86000061035156,2024 Sep
2020-12-01,ZQU24.CBT.High,99.86000061035156,2024 Sep
2020-12-01,ZQU24.CBT.Low,99.86000061035156,2024 Sep
2020-12-01,ZQU24.CBT.Close,99.86000061035156,2024 Sep
2020-12-01,ZQU24.CBT.Volume,0,2024 Sep
2020-12-01,ZQU24.CBT.Adjusted,99.86000061035156,2024 Sep
2020-12-02,ZQU24.CBT.Open,99.8550033569336,2024 Sep
2020-12-02,ZQU24.CBT.High,99.8550033569336,2024 Sep
2020-12-02,ZQU24.CBT.Low,99.8550033569336,2024 Sep
2020-12-02,ZQU24.CBT.Close,99.8550033569336,2024 Sep
2020-12-02,ZQU24.CBT.Volume,0,2024 Sep
2020-12-02,ZQU24.CBT.Adjusted,99.8550033569336,2024 Sep
2020-12-03,ZQU24.CBT.Open,99.86000061035156,2024 Sep
2020-12-03,ZQU24.CBT.High,99.86000061035156,2024 Sep
2020-12-03,ZQU24.CBT.Low,99.86000061035156,2024 Sep
2020-12-03,ZQU24.CBT.Close,99.86000061035156,2024 Sep
2020-12-03,ZQU24.CBT.Volume,0,2024 Sep
2020-12-03,ZQU24.CBT.Adjusted,99.86000061035156,2024 Sep
2020-12-04,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-04,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-04,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-04,ZQU24.CBT.Close,99.8499984741211,2024 Sep
2020-12-04,ZQU24.CBT.Volume,0,2024 Sep
2020-12-04,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-07,ZQU24.CBT.Open,99.86000061035156,2024 Sep
2020-12-07,ZQU24.CBT.High,99.86000061035156,2024 Sep
2020-12-07,ZQU24.CBT.Low,99.86000061035156,2024 Sep
2020-12-07,ZQU24.CBT.Close,99.86000061035156,2024 Sep
2020-12-07,ZQU24.CBT.Volume,0,2024 Sep
2020-12-07,ZQU24.CBT.Adjusted,99.86000061035156,2024 Sep
2020-12-08,ZQU24.CBT.Open,99.8550033569336,2024 Sep
2020-12-08,ZQU24.CBT.High,99.8550033569336,2024 Sep
2020-12-08,ZQU24.CBT.Low,99.8550033569336,2024 Sep
2020-12-08,ZQU24.CBT.Close,99.8550033569336,2024 Sep
2020-12-08,ZQU24.CBT.Volume,0,2024 Sep
2020-12-08,ZQU24.CBT.Adjusted,99.8550033569336,2024 Sep
2020-12-09,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-09,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-09,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-09,ZQU24.CBT.Close,99.8499984741211,2024 Sep
2020-12-09,ZQU24.CBT.Volume,0,2024 Sep
2020-12-09,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-10,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-10,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-10,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-10,ZQU24.CBT.Close,99.8499984741211,2024 Sep
2020-12-10,ZQU24.CBT.Volume,0,2024 Sep
2020-12-10,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-11,ZQU24.CBT.Open,99.86499786376953,2024 Sep
2020-12-11,ZQU24.CBT.High,99.86499786376953,2024 Sep
2020-12-11,ZQU24.CBT.Low,99.86499786376953,2024 Sep
2020-12-11,ZQU24.CBT.Close,99.86499786376953,2024 Sep
2020-12-11,ZQU24.CBT.Volume,0,2024 Sep
2020-12-11,ZQU24.CBT.Adjusted,99.86499786376953,2024 Sep
2020-12-14,ZQU24.CBT.Open,99.8550033569336,2024 Sep
2020-12-14,ZQU24.CBT.High,99.8550033569336,2024 Sep
2020-12-14,ZQU24.CBT.Low,99.8550033569336,2024 Sep
2020-12-14,ZQU24.CBT.Close,99.8550033569336,2024 Sep
2020-12-14,ZQU24.CBT.Volume,0,2024 Sep
2020-12-14,ZQU24.CBT.Adjusted,99.8550033569336,2024 Sep
2020-12-15,ZQU24.CBT.Open,99.845001220703125,2024 Sep
2020-12-15,ZQU24.CBT.High,99.845001220703125,2024 Sep
2020-12-15,ZQU24.CBT.Low,99.845001220703125,2024 Sep
2020-12-15,ZQU24.CBT.Close,99.845001220703125,2024 Sep
2020-12-15,ZQU24.CBT.Volume,0,2024 Sep
2020-12-15,ZQU24.CBT.Adjusted,99.845001220703125,2024 Sep
2020-12-16,ZQU24.CBT.Open,99.845001220703125,2024 Sep
2020-12-16,ZQU24.CBT.High,99.845001220703125,2024 Sep
2020-12-16,ZQU24.CBT.Low,99.845001220703125,2024 Sep
2020-12-16,ZQU24.CBT.Close,99.845001220703125,2024 Sep
2020-12-16,ZQU24.CBT.Volume,0,2024 Sep
2020-12-16,ZQU24.CBT.Adjusted,99.845001220703125,2024 Sep
2020-12-17,ZQU24.CBT.Open,99.845001220703125,2024 Sep
2020-12-17,ZQU24.CBT.High,99.845001220703125,2024 Sep
2020-12-17,ZQU24.CBT.Low,99.845001220703125,2024 Sep
2020-12-17,ZQU24.CBT.Close,99.845001220703125,2024 Sep
2020-12-17,ZQU24.CBT.Volume,0,2024 Sep
2020-12-17,ZQU24.CBT.Adjusted,99.845001220703125,2024 Sep
2020-12-18,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-18,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-18,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-18,ZQU24.CBT.Close,99.8499984741211,2024 Sep
2020-12-18,ZQU24.CBT.Volume,0,2024 Sep
2020-12-18,ZQU24.CBT.Adjusted,99.8499984741211,2024 Sep
2020-12-21,ZQU24.CBT.Open,99.8499984741211,2024 Sep
2020-12-21,ZQU24.CBT.High,99.8499984741211,2024 Sep
2020-12-21,ZQU24.CBT.Low,99.8499984741211,2024 Sep
2020-12-21,ZQU24.CBT.Close,99.8499984741211,2024 Sep
